Ano de eleição;Cargo;Município;Quantidade de aptos;Quantidade de abstenções;Data de carga
2022;Deputado Estadual;ALTO BELA VISTA;1845;319;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO BOA VISTA;4133;1200;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO CAPARAÓ;4302;671;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO DO RODRIGUES;11340;2163;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO FELIZ;2751;420;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO GARÇAS;8253;2040;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO HORIZONTE;6173;1607;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO JEQUITIBÁ;6983;1341;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO LONGÁ;12299;1713;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO PARAGUAI;6128;1483;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO PARANÁ;10837;2537;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO PARAÍSO;14731;3835;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO PARAÍSO DE GOIÁS;6941;1647;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO PARNAÍBA;8378;2234;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO PIQUIRI;7395;1659;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO RIO DOCE;10234;2686;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO RIO NOVO;6366;1802;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO SANTO;12770;2789;2023-06-19 19:56:40
2022;Deputado Estadual;ALTO TAQUARI;7395;1934;2023-06-19 19:56:40
2022;Deputado Estadual;ALTOS;33679;4530;2023-06-19 19:56:40
2022;Deputado Estadual;ALTÔNIA;14788;3270;2023-06-19 19:56:40
2022;Deputado Estadual;ALUMÍNIO;14510;3046;2023-06-19 19:56:40
2022;Deputado Estadual;ALVARENGA;4239;833;2023-06-19 19:56:40
2022;Deputado Estadual;ALVARÃES;11310;2641;2023-06-19 19:56:40
2022;Deputado Estadual;ALVINLÂNDIA;2717;646;2023-06-19 19:56:40
2022;Deputado Estadual;ALVINÓPOLIS;13078;2779;2023-06-19 19:56:40
2022;Deputado Estadual;ALVORADA;145221;30683;2023-06-19 19:56:40
2022;Deputado Estadual;ALVORADA DE MINAS;4381;1276;2023-06-19 19:56:40
2022;Deputado Estadual;ALVORADA DO GURGUÉIA;4387;786;2023-06-19 19:56:40
2022;Deputado Estadual;ALVORADA DO NORTE;6682;1577;2023-06-19 19:56:40
2022;Deputado Estadual;ALVORADA DO OESTE;11870;3555;2023-06-19 19:56:40
2022;Deputado Estadual;ALVORADA DO SUL;7034;1422;2023-06-19 19:56:40
2022;Deputado Estadual;ALÉM PARAÍBA;27983;6523;2023-06-19 19:56:40
2022;Deputado Estadual;AMAJARI;6495;897;2023-06-19 19:56:40
2022;Deputado Estadual;AMAMBAI;26289;6293;2023-06-19 19:56:40
2022;Deputado Estadual;AMAPORÃ;3953;703;2023-06-19 19:56:40
2022;Deputado Estadual;AMAPÁ;6853;1385;2023-06-19 19:56:40
2022;Deputado Estadual;AMAPÁ DO MARANHÃO;5873;1646;2023-06-19 19:56:40
2022;Deputado Estadual;AMARAJI;16866;3340;2023-06-19 19:56:40
2022;Deputado Estadual;AMARAL FERRADOR;4626;844;2023-06-19 19:56:40
2022;Deputado Estadual;AMARALINA;3081;677;2023-06-19 19:56:40
2022;Deputado Estadual;AMARANTE;15122;3042;2023-06-19 19:56:40
2022;Deputado Estadual;AMARANTE DO MARANHÃO;27431;6973;2023-06-19 19:56:40
2022;Deputado Estadual;AMARGOSA;28893;6836;2023-06-19 19:56:40
2022;Deputado Estadual;AMATURÁ;6798;1393;2023-06-19 19:56:40
2022;Deputado Estadual;AMERICANA;180269;36002;2023-06-19 19:56:40
2022;Deputado Estadual;AMERICANO DO BRASIL;5193;1021;2023-06-19 19:56:40
2022;Deputado Estadual;AMETISTA DO SUL;5759;772;2023-06-19 19:56:40
2022;Deputado Estadual;AMONTADA;33488;6386;2023-06-19 19:56:40
2022;Deputado Estadual;AMORINÓPOLIS;3590;698;2023-06-19 19:56:40
2022;Deputado Estadual;AMPARO;59957;14041;2023-06-19 19:56:40
2022;Deputado Estadual;AMPARO DE SÃO FRANCISCO;2679;448;2023-06-19 19:56:40
2022;Deputado Estadual;AMPARO DO SERRA;4629;995;2023-06-19 19:56:40
2022;Deputado Estadual;AMPÉRE;14917;2720;2023-06-19 19:56:40
2022;Deputado Estadual;AMÉLIA RODRIGUES;19792;4075;2023-06-19 19:56:40
2022;Deputado Estadual;AMÉRICA DOURADA;13481;3336;2023-06-19 19:56:40
2022;Deputado Estadual;AMÉRICO BRASILIENSE;28575;6027;2023-06-19 19:56:40
2022;Deputado Estadual;AMÉRICO DE CAMPOS;4938;909;2023-06-19 19:56:40
2022;Deputado Estadual;ANADIA;12661;3636;2023-06-19 19:56:40
2022;Deputado Estadual;ANAGÉ;19719;4840;2023-06-19 19:56:40
2022;Deputado Estadual;ANAHY;2697;505;2023-06-19 19:56:40
2022;Deputado Estadual;ANAJATUBA;18627;3820;2023-06-19 19:56:40
2022;Deputado Estadual;ANAJÁS;21522;5742;2023-06-19 19:56:40
2022;Deputado Estadual;ANALÂNDIA;4539;1308;2023-06-19 19:56:40
2022;Deputado Estadual;ANAMÃ;8653;2188;2023-06-19 19:56:40
2022;Deputado Estadual;ANANINDEUA;348557;60905;2023-06-19 19:56:40
2022;Deputado Estadual;ANANÁS;7164;1375;2023-06-19 19:56:40
2022;Deputado Estadual;ANAPU;22274;5639;2023-06-19 19:56:40
2022;Deputado Estadual;ANAPURUS;14234;2964;2023-06-19 19:56:40
2022;Deputado Estadual;ANASTÁCIO;18172;4627;2023-06-19 19:56:40
2022;Deputado Estadual;ANAURILÂNDIA;6224;1524;2023-06-19 19:56:40
2022;Deputado Estadual;ANCHIETA;27532;4499;2023-06-19 19:56:40
2022;Deputado Estadual;ANDARAÍ;10764;2992;2023-06-19 19:56:40
2022;Deputado Estadual;ANDIRÁ;16515;3647;2023-06-19 19:56:40
2022;Deputado Estadual;ANDORINHA;12444;2280;2023-06-19 19:56:40
2022;Deputado Estadual;ANDRADAS;30399;6772;2023-06-19 19:56:40
2022;Deputado Estadual;ANDRADINA;45529;10947;2023-06-19 19:56:40
2022;Deputado Estadual;ANDRELÂNDIA;9931;2555;2023-06-19 19:56:40
2022;Deputado Estadual;ANDRÉ DA ROCHA;1321;212;2023-06-19 19:56:40
2022;Deputado Estadual;ANGATUBA;18371;4575;2023-06-19 19:56:40
2022;Deputado Estadual;ANGELIM;9369;2425;2023-06-19 19:56:40
2022;Deputado Estadual;ANGELINA;4978;587;2023-06-19 19:56:40
2022;Deputado Estadual;ANGELÂNDIA;6722;2029;2023-06-19 19:56:40
2022;Deputado Estadual;ANGICAL;12884;2741;2023-06-19 19:56:40
2022;Deputado Estadual;ANGICAL DO PIAUÍ;6799;1460;2023-06-19 19:56:40
2022;Deputado Estadual;ANGICO;2681;557;2023-06-19 19:56:40
2022;Deputado Estadual;ANGICOS;9837;1662;2023-06-19 19:56:40
2022;Deputado Estadual;ANGRA DOS REIS;132745;31280;2023-06-19 19:56:40
2022;Deputado Estadual;ANGUERA;9348;1900;2023-06-19 19:56:40
2022;Deputado Estadual;ANGÉLICA;8657;2187;2023-06-19 19:56:40
2022;Deputado Estadual;ANHANGÜERA;1229;327;2023-06-19 19:56:40
2022;Deputado Estadual;ANHEMBI;5905;1872;2023-06-19 19:56:40
2022;Deputado Estadual;ANHUMAS;3398;739;2023-06-19 19:56:40
2022;Deputado Estadual;ANICUNS;14999;2811;2023-06-19 19:56:40
2022;Deputado Estadual;ANITA GARIBALDI;7460;1689;2023-06-19 19:56:40
2022;Deputado Estadual;ANITÁPOLIS;3143;424;2023-06-19 19:56:40
2022;Deputado Estadual;ANORI;10812;2608;2023-06-19 19:56:40
2022;Deputado Estadual;ANTA GORDA;4781;671;2023-06-19 19:56:40
2022;Deputado Estadual;ANTAS;10985;2520;2023-06-19 19:56:40
2022;Deputado Estadual;ANTONINA;15463;3586;2023-06-19 19:56:40
2022;Deputado Estadual;ANTONINA DO NORTE;7305;2076;2023-06-19 19:56:40
2022;Deputado Estadual;ANTONIO OLINTO;6659;1263;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO ALMEIDA;2938;556;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO CARDOSO;11270;1773;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO CARLOS;18057;3012;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO DIAS;8831;2074;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO GONÇALVES;8815;2046;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO JOÃO;7595;1696;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO MARTINS;5651;797;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO PRADO;10532;1407;2023-06-19 19:56:40
2022;Deputado Estadual;ANTÔNIO PRADO DE MINAS;1773;260;2023-06-19 19:56:40
2022;Deputado Estadual;ANÁPOLIS;286616;65109;2023-06-19 19:56:40
